met_file,parameter,value,section,title,statistic%,control_EAB,control_LPZ,EAB,LPZ,delta_EAB,delta_LPZ,pct_EAB,pct_LPZ
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,max_sector,4-30 Day Avg. X/Qs  ,0.5,7.26734651834704e-06,3.076478833463625e-06,3.698740329127759e-05,7.353548426181078e-06,2.9720056772930548e-05,4.277069592717453e-06,408.9533462853287,139.02483404711595
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,max_sector,4-30 Day Avg. X/Qs  ,5.0,1.314887299486145e-06,7.607205816384521e-07,1.382932623528177e-05,2.0838549517065985e-06,1.2514438935795624e-05,1.3231343700681464e-06,951.7499287342907,173.93171711199906
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,max_sector,4-30 Day Avg. X/Qs  ,50.0,3.931494347853004e-07,2.0996158411890065e-07,6.49360345050809e-06,9.999999974752427e-07,6.100454015722789e-06,7.900384133563421e-07,1551.688359682943,376.2776017678289
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,max_sector,Annual   Avg. X/Qs  ,,5.605541559816629e-07,2.774192182641855e-07,7.308356543944683e-06,1.0479768661753042e-06,6.74780238796302e-06,7.705576479111187e-07,1203.77350091108,277.75928889588283
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,overall_site,0-2 Hr   Avg. X/Qs  ,0.5,0.0002536626998335123,0.00011450897000031546,0.001811780733987689,0.0003186457615811378,0.0015581180341541767,0.00020413679158082232,614.2479896243414,178.27144159995495
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,overall_site,0-2 Hr   Avg. X/Qs  ,5.0,4.2017902160296217e-05,1.8849332263926044e-05,0.0006124028004705906,0.00012048438657075167,0.0005703848983102944,0.00010163505430682562,1357.4806665366211,539.1971072701358
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,overall_site,0-2 Hr   Avg. X/Qs  ,50.0,7.404187726933742e-06,4.330302999733249e-06,0.00010590411693556234,1.4739914149686228e-05,9.84999292086286e-05,1.040961114995298e-05,1330.3272802001181,240.38990229076865
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,overall_site,0-8 Hr   Avg. X/Qs  ,0.5,0.00016166036948561668,7.960024959174916e-05,0.0013837305596098304,0.000273193814791739,0.0012220701901242137,0.00019359356519998983,755.9491506871412,243.20723388794056
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,overall_site,0-8 Hr   Avg. X/Qs  ,5.0,3.8753703847760335e-05,1.8961791283800267e-05,0.0005609386716969311,0.0001104639086406678,0.0005221849678491708,9.150211735686753e-05,1347.4453174863415,482.5605133363167
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,overall_site,0-8 Hr   Avg. X/Qs  ,50.0,8.525292287231423e-06,4.720014203485334e-06,0.00012250857253093272,1.8691751392907463e-05,0.0001139832802437013,1.3971737189422129e-05,1337.0014352987916,296.0104903732106
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,overall_site,8-24 Hr  Avg. X/Qs  ,0.5,0.00011911911860806867,5.529875124921091e-05,0.0008343805093318224,0.00015252287266775966,0.0007152613907237537,9.722412141854875e-05,600.4589347887473,175.81612463615278
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,overall_site,8-24 Hr  Avg. X/Qs  ,5.0,2.8961743737454526e-05,1.4056819054530933e-05,0.0003544177452567965,6.592103454750031e-05,0.00032545600151934195,5.186421549296938e-05,1123.744497118966,368.9612514166353
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,overall_site,8-24 Hr  Avg. X/Qs  ,50.0,6.064500666980166e-06,3.091877715633018e-06,8.533216896466911e-05,1.3053348084213212e-05,7.926766829768894e-05,9.961470368580194e-06,1307.0765863590957,322.18189995721497
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,overall_site,1-4 Day  Avg. X/Qs  ,0.5,6.0760714404750615e-05,2.8292122806305997e-05,0.00040764446021057665,6.049956209608354e-05,0.00034688374580582604,3.220743928977754e-05,570.9013615197136,113.83889257895791
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,overall_site,1-4 Day  Avg. X/Qs  ,5.0,2.287617462570779e-05,1.079764206224354e-05,0.0002141801523976028,3.159773405059241e-05,0.000191303977771895,2.0800091988348868e-05,836.2586004956938,192.6355019776143
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,overall_site,1-4 Day  Avg. X/Qs  ,50.0,4.116642230655998e-06,1.92293327927473e-06,5.6589960877317935e-05,8.54748759593349e-06,5.247331864666194e-05,6.6245543166587595e-06,1274.6630799223028,344.5025570079755
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,overall_site,4-30 Day Avg. X/Qs  ,0.5,3.8632664654869586e-05,1.7864354958874173e-05,0.00025871730758808553,3.1494400900555775e-05,0.00022008464293321595,1.3630045941681601e-05,569.6853812683476,76.29744243808162
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,overall_site,4-30 Day Avg. X/Qs  ,5.0,1.6767777196946554e-05,9.212167242367286e-06,0.00016933611186686903,2.2661286493530497e-05,0.00015256833466992248,1.344911925116321e-05,909.8900401521645,145.99299922943146
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,overall_site,4-30 Day Avg. X/Qs  ,50.0,3.748622702914872e-06,1.6899992942853714e-06,4.868821633863263e-05,7.0845212576386984e-06,4.4939593635717756e-05,5.394521963353327e-06,1198.8294687745824,319.20261633212334
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,overall_site,Annual   Avg. X/Qs  ,,5.605541559816629e-07,2.774192182641855e-07,7.308356543944683e-06,1.0479768661753042e-06,6.74780238796302e-06,7.705576479111187e-07,1203.77350091108,277.75928889588283
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,15.0,max_sector,0-2 Hr   Avg. X/Qs  ,0.5,4.1753395635169e-05,1.816228177631274e-05,0.0003229405265301466,8.596584666520357e-05,0.0002811871308949776,6.780356488889083e-05,673.4473367194425,373.32074088466294
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,15.0,max_sector,0-2 Hr   Avg. X/Qs  ,5.0,8.405516382481437e-06,5.310124379320769e-06,0.00010358823783462867,2.214609776274301e-05,9.518272145214723e-05,1.6835973383422242e-05,1132.3839859562304,317.05421908734604
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,15.0,max_sector,0-2 Hr   Avg. X/Qs  ,50.0,1.0000000116860974e-07,1.0000000116860974e-07,9.999999974752427e-07,9.999999974752427e-07,8.99999996306633e-07,8.99999996306633e-07,899.9999857891455,899.9999857891455
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,15.0,max_sector,0-8 Hr   Avg. X/Qs  ,0.5,2.1532548998948187e-05,8.930775948101655e-06,0.00015694730973336846,4.327079659560695e-05,0.00013541476073442027,3.43400206475053e-05,628.8840245575893,384.5132925409991
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,15.0,max_sector,0-8 Hr   Avg. X/Qs  ,5.0,5.9646099543897435e-06,3.2551370168221183e-06,5.995823084958829e-05,1.6245312508544885e-05,5.3993620895198546e-05,1.2990175491722766e-05,905.2330547693423,399.06693403660904
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,15.0,max_sector,0-8 Hr   Avg. X/Qs  ,50.0,2.9106297461112263e-07,1.0000000116860974e-07,9.999999974752427e-07,9.999999974752427e-07,7.089370228641201e-07,8.99999996306633e-07,243.56826003420804,899.9999857891455
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,15.0,max_sector,8-24 Hr  Avg. X/Qs  ,0.5,1.3253818906378001e-05,9.580401638231706e-06,0.00010652279888745397,3.0248518669395708e-05,9.326897998107597e-05,2.0668117031164e-05,703.7140060529504,215.73330442312022
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,15.0,max_sector,8-24 Hr  Avg. X/Qs  ,5.0,3.735530526682851e-06,1.842253482209344e-06,3.3193162380484864e-05,8.777686161920428e-06,2.9457631853802013e-05,6.935432679711084e-06,788.5796045136425,376.46462588816416
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,15.0,max_sector,8-24 Hr  Avg. X/Qs  ,50.0,4.3452595832604857e-07,2.707088810893765e-07,4.698267275671242e-06,9.999999974752427e-07,4.263741317345193e-06,7.292911163858662e-07,981.2397247268425,269.40051373677886
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,15.0,max_sector,1-4 Day  Avg. X/Qs  ,0.5,8.22584297566209e-06,6.706772637699032e-06,6.925332127138972e-05,1.624242759135086e-05,6.102747829572763e-05,9.535654953651829e-06,741.899383154899,142.17948734465125
